Query,Previous_build_count,New_build_count,Difference_in_Count
Find users who live in US and visited walmart and restaurants and Golfers and belong to gender male and of age 18-24 and state california and exclude brand targetand exclude dma- los angeles,127,127,0
Find users who live in US and visited walmart and restaurants and Golfers and belong to gender male and of age 18-24 or 25-34 and state california and exclude brand targetand exclude dma- los angeles,301,301,0
Find users who live in US and visited walmart and restaurants and Golfers and belong to gender male and of age 18-24 or 25-34 and state california and exclude brand targetand exclude dma- los angeles and exclude business travellers,189,189,0
Find users who live in US and visited walmart or restaurants or Golfers,49500368,49500368,0
Find users who live in US and visited walmart or restaurants or Golfers and belong to gender male and of age 18-24 and state california and exclude brand targetand exclude dma- los angeles,89230,89230,0
Find users who live in US and visited walmart or restaurants or Golfers and belong to gender male and of age 18-24 or 25-34 and state california and exclude brand targetand exclude dma- los angeles and exclude business travellers,200574,200574,0
Find users who live in US and visited walmart or restaurants or Golfers and belong to gender male and of age 18-24 or 25-34 and state california and exclude brand targetand exclude dma- los angeles and exclude business travellers and include DLX Auto powered by Polk: Auto Parts Buyer  (iOS) and exclude DLX Auto powered by Polk: Auto Service Buyer  (iOS),4105,4105,0
Find users who live in US and visited (states ca or ny or dma-austin),36530685,36530685,0
Find users who live in US and visited (states ca or ny or dma-austin) and not dma-los angeles,25405521,25405521,0
Find users who live in US and visited states(ca or mn or ny) and exclude (los angeles or minneapolis),53714690,53714690,0
Find users who lives in country Canada and belong to Soccermoms,351,351,0
Find users who lives in country UK,70129057,70129057,0
Find users who lives in country gb and of age 13-17,403501,403501,0
Find users who lives in country gb and of age 18-24,2421993,2421993,0
Find users who lives in country gb and of age 25-34,2527464,2527464,0
Find users who lives in country gb and of age 35-44,887707,887707,0
Find users who lives in country gb and of age 45-54,2137609,2137609,0
Find users who lives in country gb and of age 55-64,377135,377135,0
Find users who lives in country gb and of age more than 65,945436,945436,0
Find users who lives in country gb and of unknown age,0,0,0
Find users who lives in country UK and of gender female,12068420,12068420,0
Find users who lives in country UK and of gender male,19878940,19878940,0
Find users who lives in country UK and of gender unknown,38181697,38181697,0
Find users who lives in country US,5.522e+08,5.522e+08,0
Find users who lives in country us and of age 13-17,4762200,4762200,0
Find users who lives in country us and of age 18-24,28484340,28484340,0
Find users who lives in country us and of age 25-34,27797203,27797203,0
Find users who lives in country us and of age 35-44,7553602,7553602,0
Find users who lives in country us and of age 45-54,22055637,22055637,0
Find users who lives in country us and of age 55-64,1749730,1749730,0
